[0] MPI startup(): I_MPI_OFA_TRANSLATION_CACHE variable has been removed from the product, its value is ignored

src,dst,lat(us),bandwidth((Mbytes/sec)
10,1,1.02,12045.381821 
10,2,1.02,12045.776488 
10,3,1.02,12044.751211 
10,4,1.02,12043.219661 
10,5,1.02,12043.563461 
10,6,1.02,12037.676485 
10,7,1.02,12042.813890 
10,8,1.01,12042.743849 
10,9,1.02,12047.775193 
10,11,1.02,12046.167154 
10,12,1.02,12042.781687 
10,13,1.02,12047.396508 
10,14,1.01,12040.164972 
10,15,1.01,12033.541743 
10,16,1.02,12039.386053 
10,17,1.02,12040.136002 
10,18,1.01,12042.668173 
10,19,1.01,12041.074375 
10,20,1.01,12043.276826 
10,21,1.02,12043.230128 
10,22,1.01,12035.945691 
10,23,1.01,12041.554080 
10,24,1.02,12041.263516 
10,25,1.02,12033.208161 
10,26,1.01,12042.388020 
10,27,1.02,12042.397681 
10,28,1.01,12036.008416 
10,29,1.02,12041.877661 
10,30,1.01,12044.663431 
10,31,1.02,12045.633922 
10,32,1.02,12036.020478 
10,33,1.01,12039.629052 
10,34,1.02,12041.049425 
10,35,1.02,12049.058871 
10,36,1.02,12042.126395 
10,37,1.02,12041.263516 
10,38,1.01,12041.732772 
10,39,1.02,12038.938703 
10,40,1.02,12033.610873 
10,41,1.02,12049.289365 
10,42,1.02,12029.047570 
10,43,1.01,12043.288903 
10,44,1.01,12032.774129 
10,45,1.02,12030.927434 
10,46,1.01,12040.305800 
10,47,1.02,12043.248646 
10,48,1.01,12044.574846 
10,49,1.02,12046.043911 
10,50,1.01,12046.204209 
10,51,1.01,12045.778905 
10,52,1.01,12039.575945 
10,53,1.01,12033.959752 
10,54,1.01,12041.811655 
10,55,1.01,12044.561961 
11,0,1.03,12019.414862 
11,1,1.01,12026.757180 
11,2,1.01,12021.696841 
11,3,1.01,12030.875208 
11,4,1.02,12021.319793 
11,5,1.01,12016.791457 
11,6,1.01,12011.359872 
11,7,1.01,12023.641016 
11,8,1.01,12017.368636 
11,9,1.01,12018.470240 
11,10,1.01,12017.378256 
11,12,1.01,12022.296154 
11,13,1.01,12011.053144 
11,14,1.01,12009.551769 
11,15,1.01,12020.801592 
11,16,1.01,12013.946453 
11,17,1.01,12012.108736 
11,18,1.01,12025.949487 
11,19,1.01,12023.587248 
11,20,1.01,12016.841958 
11,21,1.01,12021.132080 
11,22,1.01,12029.598615 
11,23,1.01,12021.458576 
11,24,1.01,12017.942663 
11,25,1.02,12022.682089 
11,26,1.01,12020.598655 
11,27,1.01,12022.497543 
11,28,1.01,12022.243200 
11,29,1.01,12028.017108 
11,30,1.01,12022.884293 
11,31,1.02,12026.653603 
11,32,1.02,12020.597853 
11,33,1.01,12026.040207 
11,34,1.01,12022.901947 
11,35,1.01,12018.040478 
11,36,1.01,12022.908366 
11,37,1.02,12017.258005 
11,38,1.01,12021.373541 
11,39,1.02,12014.056221 
11,40,1.01,12021.248397 
11,41,1.02,12022.566547 
11,42,1.02,12015.129170 
11,43,1.01,12033.151896 
11,44,1.01,12017.757461 
11,45,1.01,12021.065500 
11,46,1.01,12021.091169 
11,47,1.02,12016.950977 
11,48,1.01,12007.945112 
11,49,1.01,12018.353175 
11,50,1.01,12022.118039 
11,51,1.01,12022.619503 
11,52,1.01,12022.949289 
11,53,1.01,12025.443731 
11,54,1.01,12024.519832 
11,55,1.01,12022.195863 
12,0,1.03,12029.429119 
12,1,1.02,12026.063489 
12,2,1.02,12032.422908 
12,3,1.02,12033.618912 
12,4,1.01,12034.005574 
12,5,1.02,12030.693625 
12,6,1.02,12033.694474 
12,7,1.01,12020.909881 
12,8,1.01,12030.042861 
12,9,1.01,12038.717454 
12,10,1.01,12029.801052 
12,11,1.01,12041.935617 
12,13,1.01,12026.688931 
12,14,1.02,12030.652648 
12,15,1.01,12035.311245 
12,16,1.01,12027.789033 
12,17,1.02,12036.516670 
12,18,1.01,12036.031737 
12,19,1.01,12039.135822 
12,20,1.01,12030.460627 
12,21,1.01,12039.413410 
12,22,1.01,12039.214672 
12,23,1.01,12043.240595 
12,24,1.01,12039.558243 
12,25,1.01,12028.266073 
12,26,1.01,12025.092135 
12,27,1.01,12033.536920 
12,28,1.01,12040.204403 
